id,date,close, diff ,tday,ctry,band,,
DEU,5/21/2009,4900.67, (2.74),491,99,3,,
AUS,11/4/2008,4169.8, (2.74),350,6,3,,
MEX,10/28/2008,18632.53, (2.74),345,167,3,,
DEU,9/15/2008,6064.16, (2.74),314,99,3,,
IND,1/27/2009,9004.08, (2.74),409,26,3,,
MEX,9/24/2008,24944.25, (2.73),321,167,3,,
FRA,3/20/2009,2791.14, (2.73),447,97,3,,
BRA,2/2/2009,38666, (2.72),413,138,3,,
ITA,4/23/2009,18145, (2.71),471,101,3,,
CHN,10/14/2008,2017.32, (2.71),335,13,3,,
AUS,8/5/2008,4882, (2.71),285,6,3,,
AUS,1/23/2009,3300.3, (2.71),407,6,3,,
USA,2/29/2008,1330.63, (2.71),173,161,3,,
ITA,3/17/2008,30586, (2.71),184,101,3,,
DEU,2/12/2009,4407.56, (2.70),421,99,3,,
ITA,3/17/2009,14082, (2.70),444,101,3,,
CHN,12/13/2007,4958.04, (2.70),118,13,3,,
CAN,6/24/2009,13.36, (2.69),515,153,3,,
ITA,4/8/2009,16939, (2.69),460,101,3,,
CAN,12/29/2008,11.2, (2.69),389,153,3,,
JPN,4/8/2009,8595.01, (2.69),460,9,3,,
USA,5/13/2009,883.92, (2.69),485,161,3,,
FRA,7/16/2008,4112.45, (2.69),271,97,3,,
FRA,12/29/2008,3130.72, (2.69),389,97,3,,
CHN,9/8/2008,2143.42, (2.68),309,13,3,,
IND,7/3/2008,13094.11, (2.67),262,26,3,,
FRA,10/13/2008,3531.5, (2.67),334,97,3,,
CAN,12/31/2008,11.67, (2.67),391,153,3,,
JPN,4/28/2009,8493.77, (2.67),474,9,3,,
MEX,3/28/2008,30089.9, (2.66),193,167,3,,
CAN,12/9/2008,10.97, (2.66),375,153,3,,
CAN,5/7/2009,13.17, (2.66),481,153,3,,
USA,8/3/2007,1433.06, (2.66),24,161,3,,
FRA,9/24/2008,4114.54, (2.66),321,97,3,,
BRA,12/9/2008,37968, (2.66),375,138,3,,
CHN,7/16/2008,2705.87, (2.65),271,13,3,,
MEX,9/17/2007,29794.49, (2.64),55,167,3,,
USA,11/1/2007,1508.44, (2.64),88,161,3,,
JPN,5/14/2009,9093.73, (2.64),486,9,3,,
BRA,11/13/2007,62927, (2.64),96,138,3,,
MEX,1/22/2008,26892.74, (2.63),145,167,3,,
CAN,4/8/2009,11.85, (2.63),460,153,3,,
CHN,11/30/2007,4871.78, (2.63),109,13,3,,
IND,4/4/2008,15343.12, (2.63),198,26,3,,
CHN,1/17/2008,5151.63, (2.63),142,13,3,,
MEX,1/27/2009,19616.15, (2.63),409,167,3,,
AUS,4/1/2009,3527.2, (2.62),455,6,3,,
CHN,8/26/2008,2350.08, (2.62),300,13,3,,
ITA,3/24/2009,15837, (2.62),449,101,3,,
CHN,12/17/2007,4876.76, (2.62),120,13,3,,
DEU,5/13/2009,4727.61, (2.61),485,99,3,,
BRA,8/7/2007,53802, (2.60),26,138,3,,
BRA,5/7/2009,50058, (2.60),481,138,3,,
BRA,1/31/2008,59490, (2.60),152,138,3,,
CAN,5/27/2009,13.48, (2.60),495,153,3,,
BRA,10/31/2008,37257, (2.59),348,138,3,,
CHN,10/22/2007,5667.33, (2.59),80,13,3,,
CAN,9/9/2008,15.45, (2.59),310,153,3,,
BRA,2/8/2008,59076, (2.58),158,138,3,,
USA,11/17/2008,850.75, (2.58),359,161,3,,
BRA,6/3/2009,52087, (2.58),500,138,3,,
USA,10/19/2007,1500.63, (2.56),79,161,3,,
IND,8/4/2008,14577.87, (2.56),284,26,3,,
BRA,6/24/2008,64168, (2.56),255,138,3,,
IND,3/13/2008,15357.35, (2.56),182,26,3,,
CAN,3/24/2008,16.08, (2.55),189,153,3,,
CHN,12/9/2008,2037.74, (2.54),375,13,3,,
ITA,3/11/2009,13568, (2.54),440,101,3,,
USA,12/11/2007,1477.65, (2.53),116,161,3,,
DEU,10/9/2008,4887, (2.53),332,99,3,,
ITA,10/2/2008,25258, (2.52),327,101,3,,
CHN,6/23/2008,2760.42, (2.52),254,13,3,,
MEX,8/16/2007,27793.16, (2.52),33,167,3,,
DEU,10/2/2008,5660.63, (2.51),327,99,3,,
DEU,2/27/2009,3843.74, (2.51),432,99,3,,
